Nama Toko,Kode Makanan,Kode Makanan ,Nama Makanan,Kode + Nama Makanan ,Add Ons,Description ,Harga,Open Link,Wishlist,Photos,Step,Format Pemesanan
La Ding ,LD02 ,LD02  ,Sop Iga + Nasi,LD02  Sop Iga + Nasi,,,Rp. 25.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ALa%20Ding%20:%0ASop%20Iga%20dan%20Nasi,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
La Ding ,LD03 ,LD03  ,Soto Mie + Nasi,LD03  Soto Mie + Nasi,,,RP. 22.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ALa%20Ding%20:%0ASoto%20Mie%20dan%20Nasi,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF01 ,SF01  ,Chick-a-potle Bowl,SF01  Chick-a-potle Bowl,,,Rp. 35.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AChick-a-potle%20Bowl,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF03 ,SF03  ,Chick-a-potle Cup,SF03  Chick-a-potle Cup,,,Rp. 18.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AChick-a-potle%20Cup,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF02 ,SF02  ,Chick-A-Potle Wrap,SF02  Chick-A-Potle Wrap,,,Rp. 35.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AChick-a-potle%20Wrap,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF07,SF07 ,Happy Tempe-r Bowl,SF07 Happy Tempe-r Bowl,,,Rp. 30.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AHappy%20Tempe-r%20Bowl,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF09,SF09 ,Happy Tempe-r Cup,SF09 Happy Tempe-r Cup,,,Rp. 15.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AHappy%20Tempe-r%20Cup,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF08,SF08 ,Happy Tempe-r Wrap,SF08 Happy Tempe-r Wrap,,,Rp. 30.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AHappy%20Tempe-r%20Wrap,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF04 ,SF04  ,O-Fish-Ally Yum! Bowl,SF04  O-Fish-Ally Yum! Bowl,,,Rp. 35.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AO-Fish-Ally%20Yum!%20Bowl,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF06,SF06 ,O-Fish-Ally Yum! Cup,SF06 O-Fish-Ally Yum! Cup,,,Rp. 18.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AO-Fish-Ally%20Yum!%20Cup,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF05 ,SF05  ,O-Fish-Ally Yum! Wrap,SF05  O-Fish-Ally Yum! Wrap,,,Rp. 35.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0AO-Fish-Ally%20Yum!%20Wrap,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF10,SF10 ,Sesame Street Bowl,SF10 Sesame Street Bowl,,,Rp. 30.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0ASesame%20Street%20Bowl,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF12,SF12 ,Sesame Street Cup,SF12 Sesame Street Cup,,,Rp. 15.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0ASesame%20Street%20Cup,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Salad Fella,SF11,SF11 ,Sesame Street Wrap,SF11 Sesame Street Wrap,,,Rp. 30.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ASalad%20Fella%20:%0ASesame%20Street%20Wrap,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Warung Kokoh,BK01 ,BK01  ,Mie Ayam,BK01  Mie Ayam,,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",Rp. 20.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0AWarung%20Kokoh%20:%0AMie%20Ayam,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fd24e83.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Warung Kokoh,BK04 ,BK04  ,Mie Dino (Ayam/ Yamin/ Rica),BK04  Mie Dino (Ayam/ Yamin/ Rica),,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",Rp. 30.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0AWarung%20Kokoh%20:%0AMie%20Dino,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Warung Kokoh,BK03 ,BK03  ,Mie Rica,BK03  Mie Rica,,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",Rp. 20.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0AWarung%20Kokoh%20:%0AMie%20Rica,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Warung Kokoh,BK02 ,BK02  ,Mie Yamin,BK02  Mie Yamin,,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",Rp. 20.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0AWarung%20Kokoh%20:%0AMie%20Yamin,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP01,SP01 ,Maui ,SP01 Maui ,,(Salmon w/ Mixed Salad) ,Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP02,SP02 ,Oahu ,SP02 Oahu ,,(Tuna w/ Mixed Salad),Rp. 60.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP03,SP03 ,Waikiki,SP03 Waikiki,,(Tofu w/ Mixed Salad),Rp. 55.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP04,SP04 ,Kailua,SP04 Kailua,,(Salmon & Tuna w/ Mixed Salad),Rp. 80.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP05,SP05 ,Mauna kea ,SP05 Mauna kea ,,(Salmon w/ Brown Rice),Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP06,SP06 ,Honolulu,SP06 Honolulu,,(Tuna w/ Brown Rice),Rp. 60.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP07,SP07 ,Molokini ,SP07 Molokini ,,(Tofu w/ Brown Rice),Rp. 55.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP08,SP08 ,Kualoa,SP08 Kualoa,,(Salmon & Tuna w/ Brown Rice),Rp. 80.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP09,SP09 ,Core Flow ,SP09 Core Flow ,,"(Tortilla, Chicken Breast, Egg Whites, Cherry Tomatoes, Parmesan, Croutons, & Caesar Dressing)",Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP10,SP10 ,Yin & Yang,SP10 Yin & Yang,,"(Tortilla, Beef Bulgogi, Bell Pepper, Carrot, Kyuri, Dry Chilli, & Bulgogi Dressing)",Rp. 95.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP11,SP11 ,Body Balance ,SP11 Body Balance ,,"(Tortilla, Gherkin, Pineapple, Red Beans, Kyuri, Tomatoes, Bell Pepper, Quinoa, & Pink Apple/Thai )",Rp. 80.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP12,SP12 ,Pump It Up ,SP12 Pump It Up ,,"(Tortilla, Salmon, Tobiko, Crab Stick, Avocado, Kyuri, & Truffle Mayo)",Rp. 100.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP13,SP13 ,Fast It ,SP13 Fast It ,,"(Tortilla, Sweet Corn, Salmon, Bell Peppers, Cherry Tomatoes, Red Onion, & Pesto Vinaigrette )",Rp. 80.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP14,SP14 ,Flexibility,SP14 Flexibility,,"(Tortilla, Chicken Thigh, Red Cabbage, Cherry Tomatoes, Edamame, Kyuri, & Barbeque )",Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP15,SP15 ,Fit Pack ,SP15 Fit Pack ,,"(Cauliflower Rice, Herb Spice, Chicken Breast, Baby Corn, Red Cabbage, Wakame, & Almond Barbeque)",Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP16,SP16 ,Slim Pack ,SP16 Slim Pack ,,"(Romaine Lettuce, Chicken Breast, Button Mushroom, Sweet Corn, Cherry Tomatoes, & Garlic Miso Mustard)",Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP17,SP17 ,Vegan Pack ,SP17 Vegan Pack ,,"(Mixed Salad, Tofu, Soba, Edamame, Button Mushroom, Mixed Seeds, & Pink Pineapple)",Rp. 75.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP18,SP18 ,Spice Pack ,SP18 Spice Pack ,,"(Whole Wheat Pasta, Bulgogi Beef, Bell Pepper, Broccoli, Ratatouille, Horensi Dry Chili, & Bulgogi )",Rp. 100.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP19,SP19 ,Super Pack ,SP19 Super Pack ,,"(Quinoa, Dory, Chicken Breast, Herb Carrot, Egg White, Roasted Tempe, Button Mushrooms, Almonds, & Thai)",Rp. 100.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
6Pack,SP20,SP20 ,Sweet Pack ,SP20 Sweet Pack ,,"(Sweet Potatoes, Chicken Thigh, Tofu, Broccoli, Ratatouille, Cherry Tomato, Sweet Corn, Mixed Seed, & Pesto Vinaigrette)",Rp. 100.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Bakso Pak Joko,BPJ01,BPJ01 ,Bakso Campur,BPJ01 Bakso Campur,,,Rp. 29.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Bakso Pak Joko,BPJ02,BPJ02 ,Bakso Isi Daging,BPJ02 Bakso Isi Daging,,,Rp. 25.000,https://wa.me/6281911050357?text=Nama:%0AJam:%0ADine%20In/%20Takeaway:%0APesanan:,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
